Date,ID,Member Since,Type,Charge,Join Date,Zip,Primary's Birthday,Account ID,Type External ID,Date Entered
5/22/2023,TXN00001487,11/18/2007,Religious School Fees,2690,11/18/2007,10065,6/13/1972,ACC010192,TYPE3,5/23/2023
5/23/2023,TXN00001426,11/18/2003,HH Pledges/Memorial Book,438,11/18/2003,11222,1/2/1961,ACC010184,TYPE2,5/23/2023
5/26/2023,TXN00001083,11/18/2015,Building Fund,4625,11/18/2015,10037,2/11/1945,ACC010140,TYPE6,5/27/2023
5/27/2023,TXN00000150,11/18/2000,Hineini Pledges,1800,11/18/2000,11215,2/9/1991,ACC010017,TYPE1,5/29/2023
5/27/2023,TXN00001051,11/18/1995,Religious School Fees,500,11/18/1995,10012,8/28/1950,ACC010136,TYPE3,5/27/2023
5/28/2023,TXN00000267,11/18/2007,High Holiday Tickets,500,11/18/2007,10075,8/13/1978,ACC010033,TYPE4,5/28/2023
5/28/2023,TXN00001385,11/18/2018,HH Pledges/Memorial Book,465,11/18/2018,11211,6/18/1967,ACC010179,TYPE2,5/29/2023
5/30/2023,TXN00000243,11/18/2005,High Holiday Tickets,500,11/18/2005,10002,2/8/1956,ACC010030,TYPE4,6/1/2023
5/30/2023,TXN00001330,11/18/2007,HH Pledges/Memorial Book,506,11/18/2007,10128,5/28/1949,ACC010174,TYPE2,6/1/2023
5/31/2023,TXN00000169,11/18/2015,Hineini Pledges,3559,11/18/2015,10025,4/13/1984,ACC010020,TYPE1,6/2/2023
6/1/2023,TXN00000224,11/18/1995,Building Fund,2733,11/18/1995,10282,6/1/1979,ACC010027,TYPE6,6/3/2023
6/1/2023,TXN00000320,11/18/1998,Adult Education,300,11/18/1998,10023,12/18/1958,ACC010038,TYPE5,6/2/2023
6/2/2023,TXN00000270,11/18/2007,HH Pledges/Memorial Book,479,11/18/2007,10075,8/13/1978,ACC010033,TYPE2,6/2/2023
6/2/2023,TXN00000394,11/18/2023,High Holiday Tickets,350,11/18/2023,10018,11/12/1974,ACC010050,TYPE4,6/3/2023
6/2/2023,TXN00001440,11/18/2021,HH Pledges/Memorial Book,1000,11/18/2021,10020,12/5/1974,ACC010185,TYPE2,6/3/2023
6/3/2023,TXN00000182,11/18/2000,Building Fund,603,11/18/2000,11231,3/23/1952,ACC010022,TYPE6,6/3/2023
6/3/2023,TXN00000455,11/18/2000,Adult Education,300,11/18/2000,10128,1/8/1963,ACC010059,TYPE5,6/4/2023
6/3/2023,TXN00001453,11/18/2023,Religious School Fees,3000,11/18/2023,10012,10/11/1977,ACC010187,TYPE3,6/5/2023
6/6/2023,TXN00000721,11/18/2022,Religious School Fees,3000,11/18/2022,10026,11/6/1985,ACC010092,TYPE3,6/6/2023
6/7/2023,TXN00001469,11/18/2021,Religious School Fees,1646,11/18/2021,11201,2/18/1981,ACC010189,TYPE3,6/8/2023
6/11/2023,TXN00000245,11/18/2005,Building Fund,2585,11/18/2005,10002,2/8/1956,ACC010030,TYPE6,6/12/2023
6/12/2023,TXN00000120,11/18/1999,Religious School Fees,3000,11/18/1999,10014,3/21/1986,ACC010014,TYPE3,6/12/2023
6/13/2023,TXN00000070,11/18/2008,Religious School Fees,1571,11/18/2008,10036,4/24/1949,ACC010007,TYPE3,6/14/2023
6/13/2023,TXN00000199,11/18/2023,High Holiday Tickets,139,11/18/2023,11205,10/18/1943,ACC010025,TYPE4,6/15/2023
6/13/2023,TXN00001310,11/18/1997,Hineini Pledges,4913,11/18/1997,10065,1/24/1956,ACC010172,TYPE1,6/15/2023
6/14/2023,TXN00000342,11/18/2006,Adult Education,263,11/18/2006,10019,12/28/1992,ACC010042,TYPE5,6/16/2023
6/14/2023,TXN00000825,11/18/1999,HH Pledges/Memorial Book,373,11/18/1999,10020,12/3/1979,ACC010105,TYPE2,6/14/2023
6/15/2023,TXN00000014,11/18/2000,HH Pledges/Memorial Book,370,11/18/2000,11205,12/21/1967,ACC010002,TYPE2,6/17/2023
6/16/2023,TXN00000841,11/18/1996,Building Fund,466,11/18/1996,11222,7/18/1972,ACC010107,TYPE6,6/16/2023
6/16/2023,TXN00001176,11/18/1995,Religious School Fees,1288,11/18/1995,10025,10/18/1948,ACC010151,TYPE3,6/16/2023
6/17/2023,TXN00000411,11/18/2014,Religious School Fees,3000,11/18/2014,10010,10/14/1953,ACC010054,TYPE3,6/19/2023
6/17/2023,TXN00001460,11/18/2022,HH Pledges/Memorial Book,381,11/18/2022,10026,2/25/1953,ACC010188,TYPE2,6/18/2023
6/18/2023,TXN00000222,11/18/1995,HH Pledges/Memorial Book,434,11/18/1995,10282,6/1/1979,ACC010027,TYPE2,6/19/2023
6/19/2023,TXN00001013,11/18/2016,HH Pledges/Memorial Book,882,11/18/2016,10016,1/22/1963,ACC010131,TYPE2,6/19/2023
6/20/2023,TXN00000214,11/18/2006,Religious School Fees,500,11/18/2006,11201,3/17/1941,ACC010026,TYPE3,6/22/2023
6/21/2023,TXN00000861,11/18/2021,Building Fund,4191,11/18/2021,10282,4/11/1985,ACC010110,TYPE6,6/23/2023
6/22/2023,TXN00000886,11/18/2012,Building Fund,5000,11/18/2012,10024,9/6/1965,ACC010113,TYPE6,6/24/2023
6/22/2023,TXN00001270,11/18/2016,High Holiday Tickets,460,11/18/2016,11215,10/14/1953,ACC010166,TYPE4,6/24/2023
6/23/2023,TXN00000318,11/18/1998,Building Fund,4060,11/18/1998,10023,12/18/1958,ACC010038,TYPE6,6/23/2023
6/23/2023,TXN00001401,11/18/2009,Building Fund,2929,11/18/2009,10023,3/8/1963,ACC010181,TYPE6,6/25/2023
6/25/2023,TXN00001022,11/18/2016,High Holiday Tickets,500,11/18/2016,10030,1/25/1960,ACC010132,TYPE4,6/27/2023
6/27/2023,TXN00000201,11/18/2023,Building Fund,5000,11/18/2023,11205,10/18/1943,ACC010025,TYPE6,6/27/2023
6/27/2023,TXN00000522,11/18/2023,Adult Education,300,11/18/2023,11222,5/7/1975,ACC010066,TYPE5,6/27/2023
6/28/2023,TXN00000414,11/18/2014,Building Fund,5000,11/18/2014,10010,10/14/1953,ACC010054,TYPE6,6/29/2023
6/29/2023,TXN00000675,11/18/2002,Religious School Fees,514,11/18/2002,11217,11/15/1996,ACC010087,TYPE3,6/29/2023
6/29/2023,TXN00000823,11/18/1999,Religious School Fees,3000,11/18/1999,10020,12/3/1979,ACC010105,TYPE3,7/1/2023
6/29/2023,TXN00000887,11/18/2012,Adult Education,300,11/18/2012,10024,9/6/1965,ACC010113,TYPE5,7/1/2023
6/30/2023,TXN00000485,11/18/2024,Building Fund,948,11/18/2024,10003,1/11/1950,ACC010062,TYPE6,7/1/2023
7/2/2023,TXN00000916,11/18/2011,Hineini Pledges,4508,11/18/2011,10021,10/2/1966,ACC010118,TYPE1,7/3/2023
7/2/2023,TXN00001513,11/18/2006,High Holiday Tickets,392,11/18/2006,10075,8/5/1975,ACC010198,TYPE4,7/3/2023
7/3/2023,TXN00000375,11/18/2017,High Holiday Tickets,247,11/18/2017,10011,4/15/1973,ACC010047,TYPE4,7/4/2023
7/4/2023,TXN00000200,11/18/2023,High Holiday Tickets,500,11/18/2023,11205,10/18/1943,ACC010025,TYPE4,7/5/2023
7/4/2023,TXN00001458,11/18/2022,Hineini Pledges,1800,11/18/2022,10026,2/25/1953,ACC010188,TYPE1,7/6/2023
7/5/2023,TXN00000723,11/18/2022,HH Pledges/Memorial Book,796,11/18/2022,10026,11/6/1985,ACC010092,TYPE2,7/7/2023
7/6/2023,TXN00000702,11/18/2010,High Holiday Tickets,500,11/18/2010,10034,3/22/1976,ACC010090,TYPE4,7/6/2023
7/7/2023,TXN00000439,11/18/2009,HH Pledges/Memorial Book,376,11/18/2009,10036,1/5/1970,ACC010056,TYPE2,7/7/2023
7/7/2023,TXN00001479,11/18/2020,Religious School Fees,3000,11/18/2020,10013,4/1/1975,ACC010191,TYPE3,7/9/2023
7/8/2023,TXN00000174,11/18/2013,Adult Education,300,11/18/2013,11222,6/22/2000,ACC010021,TYPE5,7/10/2023
7/8/2023,TXN00001076,11/18/2005,HH Pledges/Memorial Book,1000,11/18/2005,10024,10/5/1983,ACC010139,TYPE2,7/10/2023
7/9/2023,TXN00000428,11/18/1999,Religious School Fees,1890,11/18/1999,10014,7/7/1951,ACC010055,TYPE3,7/9/2023
7/9/2023,TXN00000744,11/18/1998,High Holiday Tickets,500,11/18/1998,10065,1/8/1980,ACC010096,TYPE4,7/11/2023
7/11/2023,TXN00001107,11/18/2011,High Holiday Tickets,500,11/18/2011,10017,4/2/1956,ACC010143,TYPE4,7/12/2023
7/12/2023,TXN00000883,11/18/2012,High Holiday Tickets,500,11/18/2012,10024,9/6/1965,ACC010113,TYPE4,7/13/2023
7/13/2023,TXN00000400,11/18/2023,High Holiday Tickets,500,11/18/2023,10026,1/27/1984,ACC010051,TYPE4,7/14/2023
7/14/2023,TXN00000142,11/18/2001,Hineini Pledges,12864,11/18/2001,11211,4/3/1967,ACC010016,TYPE1,7/15/2023
7/14/2023,TXN00000451,11/18/1999,Religious School Fees,2557,11/18/1999,10029,7/24/1970,ACC010058,TYPE3,7/16/2023
7/14/2023,TXN00000975,11/18/1996,Building Fund,2605,11/18/1996,10025,11/28/1954,ACC010125,TYPE6,7/15/2023
7/14/2023,TXN00001204,11/18/2012,Adult Education,300,11/18/2012,10022,6/7/1985,ACC010155,TYPE5,7/16/2023
7/15/2023,TXN00000107,11/18/1998,Religious School Fees,2479,11/18/1998,10036,9/28/1960,ACC010012,TYPE3,7/17/2023
7/16/2023,TXN00000565,11/18/1997,Hineini Pledges,6171,11/18/1997,10065,12/7/1987,ACC010071,TYPE1,7/17/2023
7/16/2023,TXN00000995,11/18/2016,HH Pledges/Memorial Book,604,11/18/2016,10026,5/22/1997,ACC010127,TYPE2,7/17/2023
7/17/2023,TXN00000181,11/18/2000,Building Fund,1745,11/18/2000,11231,3/23/1952,ACC010022,TYPE6,7/17/2023
7/17/2023,TXN00001190,11/18/2007,Religious School Fees,515,11/18/2007,11215,8/22/1985,ACC010153,TYPE3,7/19/2023
7/17/2023,TXN00001349,11/18/2010,Building Fund,5000,11/18/2010,10282,12/23/1972,ACC010176,TYPE6,7/17/2023
7/18/2023,TXN00000640,11/18/2008,Building Fund,5000,11/18/2008,11217,6/16/1943,ACC010082,TYPE6,7/18/2023
7/19/2023,TXN00000669,11/18/2015,Adult Education,300,11/18/2015,11205,9/19/1948,ACC010086,TYPE5,7/21/2023
7/19/2023,TXN00001329,11/18/2007,Religious School Fees,2197,11/18/2007,10128,5/28/1949,ACC010174,TYPE3,7/21/2023
7/20/2023,TXN00000066,11/18/2008,Hineini Pledges,3798,11/18/2008,10036,4/24/1949,ACC010007,TYPE1,7/22/2023
7/21/2023,TXN00000754,11/18/2015,Hineini Pledges,1800,11/18/2015,10010,2/20/1960,ACC010097,TYPE1,7/22/2023
7/21/2023,TXN00001035,11/18/2013,HH Pledges/Memorial Book,542,11/18/2013,11231,3/25/1949,ACC010134,TYPE2,7/21/2023
7/22/2023,TXN00001094,11/18/2005,Religious School Fees,545,11/18/2005,10023,1/24/1966,ACC010142,TYPE3,7/23/2023
7/23/2023,TXN00000667,11/18/2010,HH Pledges/Memorial Book,989,11/18/2010,11217,5/7/1956,ACC010085,TYPE2,7/23/2023
7/23/2023,TXN00001252,11/18/2023,Hineini Pledges,3643,11/18/2023,10017,9/2/1966,ACC010162,TYPE1,7/25/2023
7/24/2023,TXN00001007,11/18/2010,HH Pledges/Memorial Book,1000,11/18/2010,10027,5/13/1991,ACC010130,TYPE2,7/24/2023
7/24/2023,TXN00001069,11/18/2004,Religious School Fees,3000,11/18/2004,10128,1/4/1958,ACC010138,TYPE3,7/24/2023
7/24/2023,TXN00001372,11/18/1996,High Holiday Tickets,500,11/18/1996,11222,6/17/1973,ACC010178,TYPE4,7/24/2023
7/24/2023,TXN00001490,11/18/2002,High Holiday Tickets,380,11/18/2002,10017,5/1/1943,ACC010193,TYPE4,7/24/2023
7/25/2023,TXN00000393,11/18/2023,High Holiday Tickets,492,11/18/2023,10018,11/12/1974,ACC010050,TYPE4,7/26/2023
7/27/2023,TXN00000271,11/18/2007,HH Pledges/Memorial Book,234,11/18/2007,10075,8/13/1978,ACC010033,TYPE2,7/28/2023
7/27/2023,TXN00001086,11/18/1995,HH Pledges/Memorial Book,1000,11/18/1995,10075,11/27/1955,ACC010141,TYPE2,7/29/2023
7/28/2023,TXN00000356,11/18/2002,Religious School Fees,3000,11/18/2002,10033,4/15/1972,ACC010044,TYPE3,7/29/2023
7/28/2023,TXN00001126,11/18/2002,HH Pledges/Memorial Book,960,11/18/2002,11205,6/19/1987,ACC010145,TYPE2,7/28/2023
7/28/2023,TXN00001350,11/18/2010,Building Fund,5000,11/18/2010,10282,12/23/1972,ACC010176,TYPE6,7/29/2023
7/29/2023,TXN00001406,11/18/2014,Adult Education,202,11/18/2014,10019,6/11/1963,ACC010182,TYPE5,7/31/2023
7/30/2023,TXN00000469,11/18/2000,Building Fund,381,11/18/2000,11206,10/26/1983,ACC010060,TYPE6,8/1/2023
7/30/2023,TXN00000885,11/18/2012,Building Fund,5000,11/18/2012,10024,9/6/1965,ACC010113,TYPE6,7/30/2023
7/30/2023,TXN00001206,11/18/2012,High Holiday Tickets,352,11/18/2012,10022,6/7/1985,ACC010155,TYPE4,7/31/2023
7/31/2023,TXN00000017,11/18/2000,Adult Education,300,11/18/2000,11205,12/21/1967,ACC010002,TYPE5,8/2/2023
8/1/2023,TXN00000978,11/18/1996,Hineini Pledges,4970,11/18/1996,10025,11/28/1954,ACC010125,TYPE1,8/1/2023
8/2/2023,TXN00000221,11/18/1995,Hineini Pledges,13064,11/18/1995,10282,6/1/1979,ACC010027,TYPE1,8/4/2023
8/3/2023,TXN00000162,11/18/2011,Building Fund,5000,11/18/2011,10001,9/19/1999,ACC010019,TYPE6,8/3/2023
8/4/2023,TXN00000772,11/18/1995,High Holiday Tickets,500,11/18/1995,10001,7/5/1962,ACC010099,TYPE4,8/5/2023
8/5/2023,TXN00000536,11/18/2024,Adult Education,154,11/18/2024,10128,12/17/1944,ACC010067,TYPE5,8/6/2023
8/5/2023,TXN00000746,11/18/1998,Adult Education,300,11/18/1998,10065,1/8/1980,ACC010096,TYPE5,8/7/2023
8/6/2023,TXN00000503,11/18/1996,Building Fund,4633,11/18/1996,10044,1/4/1986,ACC010064,TYPE6,8/6/2023
8/6/2023,TXN00000807,11/18/2008,Hineini Pledges,9270,11/18/2008,10040,4/16/1994,ACC010103,TYPE1,8/7/2023
8/6/2023,TXN00001093,11/18/2005,Adult Education,300,11/18/2005,10023,1/24/1966,ACC010142,TYPE5,8/8/2023
8/8/2023,TXN00001291,11/18/2006,High Holiday Tickets,403,11/18/2006,10021,9/5/1965,ACC010169,TYPE4,8/8/2023
8/10/2023,TXN00000132,11/18/2002,Hineini Pledges,1800,11/18/2002,11206,6/8/1951,ACC010015,TYPE1,8/11/2023
8/11/2023,TXN00000900,11/18/2005,Hineini Pledges,12663,11/18/2005,10031,4/28/1947,ACC010114,TYPE1,8/12/2023
8/12/2023,TXN00000151,11/18/2000,Religious School Fees,2389,11/18/2000,11215,2/9/1991,ACC010017,TYPE3,8/12/2023
8/12/2023,TXN00000870,11/18/2008,Hineini Pledges,12041,11/18/2008,10035,12/14/1973,ACC010111,TYPE1,8/14/2023
8/12/2023,TXN00001087,11/18/1995,Religious School Fees,1381,11/18/1995,10075,11/27/1955,ACC010141,TYPE3,8/13/2023
8/13/2023,TXN00001053,11/18/1995,Adult Education,300,11/18/1995,10012,8/28/1950,ACC010136,TYPE5,8/15/2023
8/14/2023,TXN00000041,11/18/2004,Hineini Pledges,3518,11/18/2004,10028,1/25/1955,ACC010004,TYPE1,8/15/2023
8/14/2023,TXN00000123,11/18/1999,Hineini Pledges,3289,11/18/1999,10014,3/21/1986,ACC010014,TYPE1,8/14/2023
8/15/2023,TXN00000163,11/18/2011,High Holiday Tickets,500,11/18/2011,10001,9/19/1999,ACC010019,TYPE4,8/16/2023
8/15/2023,TXN00000639,11/18/2008,Building Fund,4672,11/18/2008,11217,6/16/1943,ACC010082,TYPE6,8/16/2023
8/15/2023,TXN00001498,11/18/1998,HH Pledges/Memorial Book,1000,11/18/1998,10027,4/11/1998,ACC010194,TYPE2,8/17/2023
8/16/2023,TXN00001134,11/18/2015,Building Fund,541,11/18/2015,10069,4/2/1987,ACC010146,TYPE6,8/17/2023
8/17/2023,TXN00000202,11/18/2023,Building Fund,3478,11/18/2023,11205,10/18/1943,ACC010025,TYPE6,8/18/2023
8/17/2023,TXN00000486,11/18/2024,HH Pledges/Memorial Book,1000,11/18/2024,10003,1/11/1950,ACC010062,TYPE2,8/17/2023
8/17/2023,TXN00000674,11/18/2002,Hineini Pledges,5091,11/18/2002,11217,11/15/1996,ACC010087,TYPE1,8/17/2023
8/18/2023,TXN00001036,11/18/2013,HH Pledges/Memorial Book,180,11/18/2013,11231,3/25/1949,ACC010134,TYPE2,8/19/2023
8/18/2023,TXN00001438,11/18/2021,Building Fund,4751,11/18/2021,10020,12/5/1974,ACC010185,TYPE6,8/19/2023
8/19/2023,TXN00000407,11/18/2008,Building Fund,5000,11/18/2008,10018,12/7/1963,ACC010053,TYPE6,8/20/2023
8/19/2023,TXN00000908,11/18/2021,Adult Education,300,11/18/2021,11206,11/7/1985,ACC010115,TYPE5,8/20/2023
8/20/2023,TXN00000268,11/18/2007,High Holiday Tickets,413,11/18/2007,10075,8/13/1978,ACC010033,TYPE4,8/22/2023
8/20/2023,TXN00000326,11/18/2014,Religious School Fees,1137,11/18/2014,10032,9/20/1992,ACC010039,TYPE3,8/21/2023
8/21/2023,TXN00000002,11/18/2003,Hineini Pledges,3791,11/18/2003,10023,3/24/1965,ACC010000,TYPE1,8/21/2023
8/21/2023,TXN00001319,11/18/2015,Building Fund,3127,11/18/2015,10075,2/25/1969,ACC010173,TYPE6,8/23/2023
8/22/2023,TXN00000289,11/18/2021,Adult Education,300,11/18/2021,10001,4/18/1986,ACC010036,TYPE5,8/24/2023
8/22/2023,TXN00001408,11/18/2014,Building Fund,1965,11/18/2014,10019,6/11/1963,ACC010182,TYPE6,8/22/2023
8/22/2023,TXN00001505,11/18/2022,Adult Education,300,11/18/2022,10029,5/26/1980,ACC010195,TYPE5,8/22/2023
8/23/2023,TXN00000223,11/18/1995,HH Pledges/Memorial Book,193,11/18/1995,10282,6/1/1979,ACC010027,TYPE2,8/23/2023
8/24/2023,TXN00000306,11/18/2015,Building Fund,4980,11/18/2015,10012,4/1/1964,ACC010037,TYPE6,8/26/2023
8/24/2023,TXN00001109,11/18/2011,Religious School Fees,3000,11/18/2011,10017,4/2/1956,ACC010143,TYPE3,8/24/2023
8/25/2023,TXN00000465,11/18/2000,Religious School Fees,2320,11/18/2000,11206,10/26/1983,ACC010060,TYPE3,8/25/2023
8/25/2023,TXN00000564,11/18/1997,Building Fund,942,11/18/1997,10065,12/7/1987,ACC010071,TYPE6,8/26/2023
8/26/2023,TXN00000040,11/18/2004,Building Fund,191,11/18/2004,10028,1/25/1955,ACC010004,TYPE6,8/27/2023
8/27/2023,TXN00001405,11/18/2014,Adult Education,300,11/18/2014,10019,6/11/1963,ACC010182,TYPE5,8/29/2023
8/28/2023,TXN00000425,11/18/1999,Hineini Pledges,13522,11/18/1999,10014,7/7/1951,ACC010055,TYPE1,8/30/2023
9/1/2023,TXN00000966,11/18/2011,Adult Education,300,11/18/2011,10024,1/13/1980,ACC010124,TYPE5,9/3/2023
9/1/2023,TXN00001127,11/18/2002,Religious School Fees,543,11/18/2002,11205,6/19/1987,ACC010145,TYPE3,9/3/2023
9/1/2023,TXN00001425,11/18/2003,Religious School Fees,3000,11/18/2003,11222,1/2/1961,ACC010184,TYPE3,9/3/2023
9/2/2023,TXN00000283,11/18/2016,Adult Education,300,11/18/2016,11201,4/5/1946,ACC010035,TYPE5,9/4/2023
9/2/2023,TXN00000534,11/18/2024,Hineini Pledges,2596,11/18/2024,10128,12/17/1944,ACC010067,TYPE1,9/4/2023
9/3/2023,TXN00001106,11/18/2011,Adult Education,300,11/18/2011,10017,4/2/1956,ACC010143,TYPE5,9/3/2023
9/3/2023,TXN00001115,11/18/2020,Hineini Pledges,10329,11/18/2020,11231,11/7/1961,ACC010144,TYPE1,9/4/2023
9/3/2023,TXN00001312,11/18/1997,Religious School Fees,3000,11/18/1997,10065,1/24/1956,ACC010172,TYPE3,9/5/2023
9/3/2023,TXN00001342,11/18/2014,Building Fund,977,11/18/2014,10016,3/12/1970,ACC010175,TYPE6,9/5/2023
9/4/2023,TXN00000194,11/18/2006,Religious School Fees,2309,11/18/2006,10040,10/20/1975,ACC010024,TYPE3,9/5/2023
9/5/2023,TXN00001201,11/18/2012,Building Fund,4644,11/18/2012,10022,6/7/1985,ACC010155,TYPE6,9/6/2023
9/5/2023,TXN00001517,11/18/2024,HH Pledges/Memorial Book,997,11/18/2024,11211,2/7/1994,ACC010199,TYPE2,9/5/2023
9/6/2023,TXN00000492,11/18/2013,Adult Education,300,11/18/2013,10021,1/17/1955,ACC010063,TYPE5,9/6/2023
9/6/2023,TXN00001302,11/18/1995,Building Fund,3805,11/18/1995,10003,1/27/1948,ACC010171,TYPE6,9/8/2023
9/8/2023,TXN00000225,11/18/1995,Building Fund,1699,11/18/1995,10282,6/1/1979,ACC010027,TYPE6,9/8/2023
9/8/2023,TXN00001424,11/18/2003,Religious School Fees,1893,11/18/2003,11222,1/2/1961,ACC010184,TYPE3,9/10/2023
9/9/2023,TXN00000426,11/18/1999,HH Pledges/Memorial Book,728,11/18/1999,10014,7/7/1951,ACC010055,TYPE2,9/10/2023
9/9/2023,TXN00000652,11/18/1995,Adult Education,300,11/18/1995,10020,6/18/1987,ACC010083,TYPE5,9/9/2023
9/10/2023,TXN00000290,11/18/2021,Adult Education,300,11/18/2021,10001,4/18/1986,ACC010036,TYPE5,9/11/2023
9/12/2023,TXN00000521,11/18/2023,High Holiday Tickets,500,11/18/2023,11222,5/7/1975,ACC010066,TYPE4,9/14/2023
9/12/2023,TXN00001150,11/18/2001,Religious School Fees,3000,11/18/2001,10282,6/5/1964,ACC010147,TYPE3,9/14/2023
9/12/2023,TXN00001203,11/18/2012,Adult Education,300,11/18/2012,10022,6/7/1985,ACC010155,TYPE5,9/14/2023
9/13/2023,TXN00000338,11/18/2012,Hineini Pledges,2448,11/18/2012,10022,1/18/1967,ACC010041,TYPE1,9/15/2023
9/14/2023,TXN00000292,11/18/2021,Hineini Pledges,1800,11/18/2021,10001,4/18/1986,ACC010036,TYPE1,9/14/2023
9/14/2023,TXN00001394,11/18/2007,High Holiday Tickets,500,11/18/2007,10018,9/1/1979,ACC010180,TYPE4,9/15/2023
9/16/2023,TXN00001128,11/18/2002,Religious School Fees,2117,11/18/2002,11205,6/19/1987,ACC010145,TYPE3,9/17/2023
9/17/2023,TXN00001194,11/18/2006,Hineini Pledges,7096,11/18/2006,10019,9/26/1992,ACC010154,TYPE1,9/18/2023
9/18/2023,TXN00000122,11/18/1999,Building Fund,949,11/18/1999,10014,3/21/1986,ACC010014,TYPE6,9/19/2023
9/18/2023,TXN00000368,11/18/2000,HH Pledges/Memorial Book,331,11/18/2000,10024,10/9/1993,ACC010046,TYPE2,9/20/2023
9/19/2023,TXN00000738,11/18/2012,HH Pledges/Memorial Book,1000,11/18/2012,10035,8/19/1988,ACC010095,TYPE2,9/19/2023
9/20/2023,TXN00000824,11/18/1999,HH Pledges/Memorial Book,538,11/18/1999,10020,12/3/1979,ACC010105,TYPE2,9/22/2023
9/20/2023,TXN00001063,11/18/2021,HH Pledges/Memorial Book,1000,11/18/2021,10065,7/5/1958,ACC010137,TYPE2,9/22/2023
9/21/2023,TXN00001459,11/18/2022,HH Pledges/Memorial Book,1000,11/18/2022,10026,2/25/1953,ACC010188,TYPE2,9/23/2023
9/22/2023,TXN00001023,11/18/2016,Hineini Pledges,2469,11/18/2016,10030,1/25/1960,ACC010132,TYPE1,9/23/2023
9/22/2023,TXN00001441,11/18/2021,HH Pledges/Memorial Book,1000,11/18/2021,10020,12/5/1974,ACC010185,TYPE2,9/23/2023
9/23/2023,TXN00000781,11/18/2019,Building Fund,5000,11/18/2019,10037,10/10/1947,ACC010100,TYPE6,9/23/2023
9/24/2023,TXN00000231,11/18/1998,Hineini Pledges,4884,11/18/1998,11215,3/16/1955,ACC010028,TYPE1,9/26/2023
9/24/2023,TXN00001114,11/18/2020,Adult Education,300,11/18/2020,11231,11/7/1961,ACC010144,TYPE5,9/26/2023
9/24/2023,TXN00001489,11/18/2002,High Holiday Tickets,500,11/18/2002,10017,5/1/1943,ACC010193,TYPE4,9/25/2023
9/25/2023,TXN00000850,11/18/1999,Religious School Fees,1123,11/18/1999,10075,3/26/1982,ACC010109,TYPE3,9/26/2023
9/28/2023,TXN00000621,11/18/2010,Religious School Fees,500,11/18/2010,10022,11/10/1986,ACC010079,TYPE3,9/30/2023
9/29/2023,TXN00000083,11/18/2002,HH Pledges/Memorial Book,279,11/18/2002,10030,1/13/1971,ACC010009,TYPE2,9/29/2023
9/30/2023,TXN00000044,11/18/1998,High Holiday Tickets,500,11/18/1998,10069,11/18/1961,ACC010005,TYPE4,9/30/2023
9/30/2023,TXN00000697,11/18/2021,Adult Education,300,11/18/2021,10027,12/19/1948,ACC010089,TYPE5,10/1/2023
10/1/2023,TXN00000244,11/18/2005,Building Fund,2584,11/18/2005,10002,2/8/1956,ACC010030,TYPE6,10/1/2023
10/2/2023,TXN00001149,11/18/2001,HH Pledges/Memorial Book,1000,11/18/2001,10282,6/5/1964,ACC010147,TYPE2,10/2/2023
10/3/2023,TXN00001275,11/18/2021,Hineini Pledges,9949,11/18/2021,10010,12/19/1950,ACC010167,TYPE1,10/4/2023
10/4/2023,TXN00000925,11/18/2000,Building Fund,113,11/18/2000,10022,9/13/1956,ACC010119,TYPE6,10/4/2023
10/4/2023,TXN00000974,11/18/1996,Building Fund,2692,11/18/1996,10025,11/28/1954,ACC010125,TYPE6,10/6/2023
10/5/2023,TXN00000329,11/18/2000,Religious School Fees,2347,11/18/2000,11205,7/24/1985,ACC010040,TYPE3,10/7/2023
10/7/2023,TXN00000595,11/18/2009,Religious School Fees,3000,11/18/2009,10016,12/14/1954,ACC010075,TYPE3,10/9/2023
10/7/2023,TXN00001158,11/18/2005,HH Pledges/Memorial Book,470,11/18/2005,10011,6/15/1959,ACC010148,TYPE2,10/9/2023
10/7/2023,TXN00001240,11/18/2006,Religious School Fees,500,11/18/2006,10010,3/16/1970,ACC010160,TYPE3,10/7/2023
10/8/2023,TXN00000468,11/18/2000,Building Fund,949,11/18/2000,11206,10/26/1983,ACC010060,TYPE6,10/10/2023
10/8/2023,TXN00000844,11/18/2016,Adult Education,214,11/18/2016,11206,9/22/1966,ACC010108,TYPE5,10/8/2023
10/8/2023,TXN00001317,11/18/2015,High Holiday Tickets,178,11/18/2015,10075,2/25/1969,ACC010173,TYPE4,10/9/2023
10/9/2023,TXN00000235,11/18/1998,Building Fund,345,11/18/1998,10027,4/21/1962,ACC010029,TYPE6,10/11/2023
10/9/2023,TXN00001321,11/18/2015,Religious School Fees,1054,11/18/2015,10075,2/25/1969,ACC010173,TYPE3,10/11/2023
10/11/2023,TXN00001450,11/18/2018,Building Fund,4932,11/18/2018,10075,10/1/1985,ACC010186,TYPE6,10/12/2023
10/12/2023,TXN00000374,11/18/2017,Hineini Pledges,1800,11/18/2017,10011,4/15/1973,ACC010047,TYPE1,10/13/2023
10/14/2023,TXN00000188,11/18/2002,Hineini Pledges,1800,11/18/2002,10030,10/4/1978,ACC010023,TYPE1,10/16/2023
10/15/2023,TXN00000242,11/18/2005,Religious School Fees,791,11/18/2005,10002,2/8/1956,ACC010030,TYPE3,10/17/2023
